,0
MPY,402821814da3a99c014e49c9dbfb5a38
"MRBAS, MRS",4028e4a140f2ed7101413af95c8c047c
MRGYO,4028e4a1415f4d9b0141603d2b414108
MRSHL,4028e4a140f2ed720140f325b12e0172
MSGYO,8acae2c4540d444501545d374f8d070a
MTRKS,8acae2c575a1b5b60177de29c7177130
MTRYO,4028e4a14158e41f01415b1cecc4619f
MTY,4028e4a240f2ef4c01413a66cb250699
MZHLD,4028e4a24158e42401415adbb0917e5e
NETAS,4028e4a240f2ef47014111d7df220232
NIBAS,4028e4a1413b7ef501413bc24123002f
"NRBNK, NYB",4028e4a1415f4d9901416dc894a66313
NRHOL,4028e4a141733b5101417455ea9728d0
NRLIN,4028e4a141733b51014174586b7e2a76
NTGAZ,8acae2c4782a4d580178492e12820f4f
NTHOL,4028e4a140f2ed7101412ba0829f034d
NUGYO,4028e4a1416e696301416f6100e76fb9
OBASE,8acae2c57f7cbb49018050e4303b068b
OFSYM,8acae2c586d22c510189bf5dfc710286
OLMK,4028e4a141462dfe0141501126b74b77
"OMD, OSMEN",4028e4a240ee37a30140ee408ef80002
OMP,402821814da3a99c014e8702206748d8
ONCSM,8acae2c4812b870c018161f7cdde10f3
ORGE,4028e4a140ee35c00140ee3971130009
OSTIM,4028e4a241462fd8014149e82fb004c5
OTTO,4028e4a14203278a01420955fc5d14bd
"OYA, OYYAT",4028e4a14158e41f01415a5e854d4441
OZGYO,4028e4a140ee35c70140ee582a75003c
OZSUB,8acae2c465a51c380166776d73784fba
PA1,8acae2c47d3bee4e017f2ada562c5637
PAGYO,4028e4a240f2ef4c014134d6641f062a
PAMEL,4028e4a246b4c5a90147f8ed32b0722f
PAPIL,8acae2c46e7fdc6a016e93286c5304b5
PCILT,8acae2c5782a4e6d017844c378070abd
PEKGY,8acae2c55fc6011001617acbeb1b48da
PENGD,4028e4a246b4c5a9014836bd56174fe9
PENTA,4028e4a14184e9c9014198033c094251
PETUN,4028e4a240ee866c0140f1f7b3990027
"PHC, PHLLP",4028e4a2420a2db201420dfcae6c12a7
PIE,4028e4a1486ec80b0149cd1831905a49
PIMAS,4028e4a140f2ed71014110e7224c01d9
PINSU,4028e4a240ee866c0140f1f8c01a003e
PIT,4028e4a1422d986e0142e745c5740dc2
PKART,4028e4a24184e9e501419d8dd26e7538
PKENT,4028e4a140f2ed72014106c1df9a021f
PNLSN,8acae2c47d3bee50017db95876e6220e
PNSUT,4028e4a240ee866c0140f1f97e530042
POLTK,4028e4a246b4c5a90147fcd473d37f85
PRDGS,8acae2c57afb2d71017bceb97170639d
PRKAB,4028e4a240f2ef470141167b777b0437
PRKME,4028e4a141da49ea0141e45622e54843
QYHOL,8acae2c582b7eb070182f3043ec810b9
ROP,8acae2c57d3bf001017ee8891a663345
RTALB,4028e4a2486ec9ba0148c19eb7eb1933
RUBNS,8acae2c47d3bee50017d8f777c171313
RUZYE,4028e4a14158e41f01415a8ea74c4fbe
SAFKR,8acae2c55fc6011101602fcafb57255a
SAHOL,4028e4a240ee37a90140ee50087e000b
SANFM,4028e4a141733b560141741ee61b25bd
SANKO,4028e4a242140a92014223b5b91333e8
SAYAS,4028e4a1415f4d9901416000c2de30f0
SEGYO,8acae2c56faf888c01718864329b7097
"SEK, SKBNK",4028e4a240f2ef4c01412adc8fba04ee
SELVA,8acae2c5794d3d6a0179fb3f31d744cd
SEYKM,402821824da3aa97014f16c428d14bcf
SKTAS,4028e4a140f275530140f27bc043017d
"SKY, SKYMD",4028e4a241a25fcb0141a7c4a064241c
SKYLP,4028e4a1415f4d9b01415ff295793adc
SMART,8acae2c569cee403016a6d8db5035804
SMRVA,402821814da3a99c014eb57bdd604a6f
SNICA,8acae2c5830502c20183cb8491655a67
SOKE,8acae2c552495f640152d616d67a0b95
STJ,4028e4a240f27df70140f282016c0006
TABGD,4028e4a141e536460141e5aa84740938
"TAC, TCRYT",4028e4a14184e9cf01419c00c2a65a7e
TARKM,8acae2c56eccfc0c016fae44264f6323
TATGD,4028e4a140f2ed720140f31089aa010a
TBORG,4028e4a140f2ed720140f37b033601b2
"TBY, TEBYT",4028e4a140f2ed7101413aee9b2d03fe
TEHOL,4028e4a240ee866c0140f1f6699e0018
TEKTU,4028e4a1416e696301416effc1a04330
"TERA, TRA",4028e4a141733b56014178115f7e51e7
TFG,4028e4a1416e696501416f7ee2f77bc2
THYAO,4028e4a140f2ed720140f376bebb01a7
TKNSA,4028e4a240f2ef470140f31ac6aa006f
"TKY, TKYAT",4028e4a24158e42201415b13799d6321
TLMAN,8acae2c45fc5ff9d0160e9391f3b05a4
